UNIT_NAME,UNIT_TYPE,PARKNAME
Fort Washington Park,Other Designation,Fort Washington
Sequoia National Park,National Park,Sequoia
Kalaupapa National Historical Park,National Historical Park,Kalaupapa
Tuskegee Airmen National Historic Site,National Historic Site,Tuskegee Airmen
Salt River Bay National Historical Park and Ecological Preserve,National Historical Park,Salt River Bay
Natchez National Historical Park,National Historical Park,Natchez
Edgar Allan Poe National Historic Site,National Historic Site,Edgar Allan Poe
Boston African American National Historic Site,National Historic Site,Boston African American
Mammoth Cave National Park,National Park,Mammoth Cave
Grand Teton National Park,National Park,Grand Teton
Eugene O'Neill National Historic Site,National Historic Site,Eugene O'Neill
Adams National Historical Park,National Historical Park,Adams
Navajo National Monument,National Monument,Navajo
Thomas Stone National Historic Site,National Historic Site,Thomas Stone
Cane River Creole National Historical Park,National Historical Park,Cane River Creole
Mesa Verde National Park,National Park,Mesa Verde
Great Basin National Park,National Park,Great Basin
Grand Portage National Monument,National Monument,Grand Portage
Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,Whiskeytown
Fort Point National Historic Site,National Historic Site,Fort Point
Salem Maritime National Historic Site,National Historic Site,Salem Maritime
Washington Monument,National Memorial,Washington Monument
Thomas Jefferson Memorial,National Memorial,Thomas Jefferson Memorial
Moores Creek National Battlefield,National Battlefield,Moores Creek
Horseshoe Bend National Military Park,National Military Park,Horseshoe Bend
Fort Matanzas National Monument,National Monument,Fort Matanzas
Channel Islands National Park,National Park,Channel Islands
Canyonlands National Park,National Park,Canyonlands
Little Rock Central High School National Historic Site,National Historic Site,Little Rock Central High School
White House,Other Designation,President's Park (White House)
Booker T. Washington National Monument,National Monument,Booker T Washington
Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,Jean Lafitte
Jewel Cave National Monument,National Monument,Jewel Cave
Fort Larned National Historic Site,National Historic Site,Fort Larned
Kaloko-Honokohau National Historical Park,National Historical Park,Kaloko-Honokohau
Rosie the Riveter/World War II Home Front National Historical Park,National Historical Park,Rosie the Riveter WWII Home Front
Fort Stanwix National Monument,National Monument,Fort Stanwix
Thaddeus Kosciuszko National Memorial,National Memorial,Thaddeus Kosciuszko
William Howard Taft National Historic Site,National Historic Site,William Howard Taft
Fort Scott National Historic Site,National Historic Site,Fort Scott
Perry's Victory and International Peace Memorial,National Memorial,Perry's Victory & International Peace
James A. Garfield National Historic Site,National Historic Site,James A Garfield
Catoctin Mountain Park,Other Designation,Catoctin Mountain
Rainbow Bridge National Monument,National Monument,Rainbow Bridge
Natural Bridges National Monument,National Monument,Natural Bridges
Bent's Old Fort National Historic Site,National Historic Site,Bent's Old Fort
Hohokam Pima National Monument,National Monument,Hohokam Pima
Gulf Islands National Seashore,National Seashore,Gulf Islands
